"filename", "language", "HTML", "SVG", "JavaScript", "Python", "CSS", "SQL", "comment", "blank", "total"
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchWork.html", "HTML", 32, 0, 0, 0, 0, 0, 0, 0, 32
"d:\Desktop\LabWeb\LabWebProject\templates\adminResearchWorkDetail.html", "HTML", 71, 0, 0, 0, 0, 0, 0, 0, 71
"d:\Desktop\LabWeb\LabWebProject\templates\adminSlider.html", "HTML", 114, 0, 0, 0, 0, 0, 0, 0, 114
"d:\Desktop\LabWeb\LabWebProject\templates\adminUser.html", "HTML", 49, 0, 0, 0, 0, 0, 0, 1, 50
"d:\Desktop\LabWeb\LabWebProject\templates\adminUserDetail.html", "HTML", 108, 0, 0, 0, 0, 0, 0, 0, 108
"d:\Desktop\LabWeb\LabWebProject\templates\base.html", "HTML", 162, 0, 0, 0, 0, 0, 0, 0, 162
"d:\Desktop\LabWeb\LabWebProject\templates\main.html", "HTML", 187, 0, 0, 0, 0, 0, 0, 1, 188
"d:\Desktop\LabWeb\LabWebProject\templates\newsCategory.html", "HTML", 48, 0, 0, 0, 0, 0, 0, 0, 48
"d:\Desktop\LabWeb\LabWebProject\templates\newsDetail.html", "HTML", 35, 0, 0, 0, 0, 0, 0, 0, 35
"d:\Desktop\LabWeb\LabWebProject\templates\researchField.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 21
"d:\Desktop\LabWeb\LabWebProject\templates\researchThesis.html", "HTML", 30, 0, 0, 0, 0, 0, 0, 0, 30
"d:\Desktop\LabWeb\LabWebProject\templates\signIn.html", "HTML", 64, 0, 0, 0, 0, 0, 0, 0, 64
"d:\Desktop\LabWeb\LabWebProject\templates\test.html", "HTML", 57, 0, 0, 0, 0, 0, 2, 1, 60
"Total", "-", 1269, 266, 2087, 1468, 5093, 0, 115, 996, 11294
